,title,response
1235,<start> i am afraid to get a therapist because i am a very shitty person . <end>,"<start> the important thing is that you are self aware and that automatically puts you far ahead of all the truly shitty people out there . you want help even if you do not think you deserve it and to me , that says that there is hope for you becoming less shitty . x b therapists will recognize this and honestly they will respect it . people who admit they need to change are far easier to work with than people who do not think they have anything to change . you clearly fall in the former camp . x b we all do things that are selfish or unfair . shitty people either do not recognize these things or they rationalize them as positives . you are not a shitty person , and any therapist worth having would not think so either . x b get yourself a therapist and start yourself on the road to becoming the person you want to be . <end>"
1236,"<start> in between place , is there any going back for me <end>","<start> do not go yet . give yourself another chance . if you need quick free help , text hope to . it has stopped many of my friends from making the same mistake you are about to <end>"
1237,<start> wellbutrin increase made it worse <end>,"<start> increasing meds can make you feel lucky for a few days . it is a cruel fact of depression anxiety meds . also , wellbutrin is known to increase anxiety . that is the reason i came off it , i could not handle the anxiety it induced . so if that is what you are experiencing , you may need to talk to your prescriber about finding a different med . <end>"
1238,<start> how to get out of that limbo of lies and clinging <end>,"<start> therapy , distracting yourself with positive things , exercise , people that are good for you , walks with your dog . do not date until you are fully ready . for me that was when i was not sad that the other person was not my ex anymore and i was excited to find the right person for me . did not work out and am now back in the same shitty situation as you . it sucks , but i am trying to stay as positive as possible that the right person is out there and i will find them when i am ready . take it easy on yourself . losing someone , rejection , can actually be just as painful if not more so than losing someone due to their death according to my therapist , which i think can be very true in certain circumstances . we lose the future we were hopeful for with that person by our sides , because they chose to remove themselves from our lives , that they would rather be alone than with us . shit hurts and you are aloud to grieve not sure where you live , but i have found that cod has been helpful to put me in a more calm stable mood . <end>"
1239,"<start> i feel so lost , i do not know how much more i have left in me <end>","<start> the depression detaches us from realities . the you that was your successful self is still there . you have the same brain that achieved all that . what has changed is that your head has slipped into a habit of over processing and ovsessiving about the negative . we depressive have problems because of the way our heads process stimulus , not because of some crazy dumbing down brain rot . the old part of our brain has a place called the limbic system . the ls is heavily involved in our emotional response . i have never figured out why the ls has such a command of language , but it come up with automatic negative thoughts ants that we perceive in the form of our brains being completely hijacked by hearing rentless things such as i am a loser i am worthless i would do the world a favor by just being dead padda , padda , padda . . . that is the work of the ls . what happens in this horrible , soul killing barrage is that our prefrontal cortex the logic center , just behind the eyebrows tries desperately to counter the ants . the pfc detects the ants and we perceive the ants like a voice of authority in our heads . the ants are are real as the math your rd grade teacher taught to our psyche . the problem is , that the ants are complete fabrication and the pfc goes on a wild goosechase trying to are against them . but the pfc is passing in the wind . if the ant says i am a loser , the pfc gets caught up in a losing argument . there is no definition of a loser . loser is a taunt , not a real state of being . you can not make a single , universal definition of loser in the way you could define ceo or dean . defining loser is like defining the exact shape of a water drop . you can not . and neither can your pfc . but it tries . and tries . and tries . and before you know it , the pfc that you used to run your past life is mainly preoccupied with dealing with the drivel the ants throw out . ya , no , you can not get your old life back without your pfc focusing on the realities of real life your job and it is complexities , your social life , being a dad . so , what do you do about all this confrontation between the ants and the pfc stop the ants . it is like getting old , bickering married people to quit with that old roleplay and really get some life lived . i went through about therapists and re s and still had the same depression of years . i will not tell you what to do , but i will tell you what i did . i identified that i needed to control the ants . they were crippling me , hobbling me , holding me back from living and being productive . via many ways . i felt like i had zero control over anything , really not my in my ability to earn money , my finances , my kids , my household , traffic , nit even in control of what was goi g on in my own head . so , i deduced that creating some control in my life would , at the very least , serve to counter the feeling that nothing else was in my control . and i had little time to myself overbearing , controling now ex spouse and no money , of course . so i created a little world for myself i called the power trip . i had an old pair of running shoes . i would go out for a jog alone . and i created an experience of complete control . i would get out of earshot of the ex and start . i would say out loud something like i am in control of running steps on the right side of the sidewalk , and do it immediately . i am in control of taking deep breaths in a row . i am in control of pushing my left sleeve half way up my arm . i am in control of . . . you get the idea . i said it out loud because i that that much trouble otherwise escaping the ants . but during the full mind and body immersion od a power trip , my head did not have the capacity to speak , act and be creative for the next little control task to acknowledge any ants . i made time for my power trip about of days per week . about minutes at a time . if i could not jog , i walked . it worked . but in ways i never had anticipated . sure i got a little break form my ants my personal grade a anxiety . what also happens is that my pfc stopped playing it is stupid games with the ants . it is like my pfc stopped tolerating them . my pfc called their bs . and then the ants stopped . my pfc is now free from dealing with the stupid automatic negative thoughts endlessly spring from my limbic system . i have the freedom to use my pfc as i chose again . oddly enough , with the computing power of my prefrontal cortex in my control , my life is a millon times better than what it ever was as a depressive . maybe my story will help you . you have all my support . <end>"
1240,"<start> the depression detaches us from realities . the you that was your successful self is still there . you have the same brain that achieved all that . what has changed is that your head has slipped into a habit of over processing and ovsessiving about the negative . we depressive have problems because of the way our heads process stimulus , not because of some crazy dumbing down brain rot . the old part of our brain has a place called the limbic system . the ls is heavily involved in our emotional response . i have never figured out why the ls has such a command of language , but it come up with automatic negative thoughts ants that we perceive in the form of our brains being completely hijacked by hearing rentless things such as i am a loser i am worthless i would do the world a favor by just being dead padda , padda , padda . . . that is the work of the ls . what happens in this horrible , soul killing barrage is that our prefrontal cortex the logic center , just behind the eyebrows tries desperately to counter the ants . the pfc detects the ants and we perceive the ants like a voice of authority in our heads . the ants are are real as the math your rd grade teacher taught to our psyche . the problem is , that the ants are complete fabrication and the pfc goes on a wild goosechase trying to are against them . but the pfc is passing in the wind . if the ant says i am a loser , the pfc gets caught up in a losing argument . there is no definition of a loser . loser is a taunt , not a real state of being . you can not make a single , universal definition of loser in the way you could define ceo or dean . defining loser is like defining the exact shape of a water drop . you can not . and neither can your pfc . but it tries . and tries . and tries . and before you know it , the pfc that you used to run your past life is mainly preoccupied with dealing with the drivel the ants throw out . ya , no , you can not get your old life back without your pfc focusing on the realities of real life your job and it is complexities , your social life , being a dad . so , what do you do about all this confrontation between the ants and the pfc stop the ants . it is like getting old , bickering married people to quit with that old roleplay and really get some life lived . i went through about therapists and re s and still had the same depression of years . i will not tell you what to do , but i will tell you what i did . i identified that i needed to control the ants . they were crippling me , hobbling me , holding me back from living and being productive . via many ways . i felt like i had zero control over anything , really not my in my ability to earn money , my finances , my kids , my household , traffic , nit even in control of what was goi g on in my own head . so , i deduced that creating some control in my life would , at the very least , serve to counter the feeling that nothing else was in my control . and i had little time to myself overbearing , controling now ex spouse and no money , of course . so i created a little world for myself i called the power trip . i had an old pair of running shoes . i would go out for a jog alone . and i created an experience of complete control . i would get out of earshot of the ex and start . i would say out loud something like i am in control of running steps on the right side of the sidewalk , and do it immediately . i am in control of taking deep breaths in a row . i am in control of pushing my left sleeve half way up my arm . i am in control of . . . you get the idea . i said it out loud because i that that much trouble otherwise escaping the ants . but during the full mind and body immersion od a power trip , my head did not have the capacity to speak , act and be creative for the next little control task to acknowledge any ants . i made time for my power trip about of days per week . about minutes at a time . if i could not jog , i walked . it worked . but in ways i never had anticipated . sure i got a little break form my ants my personal grade a anxiety . what also happens is that my pfc stopped playing it is stupid games with the ants . it is like my pfc stopped tolerating them . my pfc called their bs . and then the ants stopped . my pfc is now free from dealing with the stupid automatic negative thoughts endlessly spring from my limbic system . i have the freedom to use my pfc as i chose again . oddly enough , with the computing power of my prefrontal cortex in my control , my life is a millon times better than what it ever was as a depressive . maybe my story will help you . you have all my support . <end>","<start> thank you for your comments and support . intellectually i know and agree that stopping the ants is necessary and the mindfulness exercises you talk about are good ideas . i try . sometimes i can implement those strategies for days , even a week or two , but when i fall its so hard to get up again . <end>"
1241,"<start> thank you for your comments and support . intellectually i know and agree that stopping the ants is necessary and the mindfulness exercises you talk about are good ideas . i try . sometimes i can implement those strategies for days , even a week or two , but when i fall its so hard to get up again . <end>","<start> keep at it . your depression , like mine , was years and years in the making and reinforcing . the strategy i took is unique . after about decade of outside help , i asked myself , doing what i am doing , am i getting the results i want to get at this point in my life i was barely making money , catering to every whim of an ogre narcissist , and on the verge of failing to pay my bills and rent , and would lose custody of my kids with no residence . my kids were no the ogre s kids . the ogre almost dumped me of at an er to be committed for a suicidal breakdown once already , but chickened out because he would not get access to my child support money any more . the medicine made me feel jitter and jumpy and caused a racing heart at regular doses , so i was reduced to a bare minimum dose , so i do not think the drug manage my depression much . therapy was a place i went to and he or she let me talk . i felt like of the therapy was what i would say to the mirror after reading a self help article of better homes and gardens . i have a ba in psychology . i decided to add real begin science to my anti depression crusade . i experienced my depression setting up camp in my brain as a year old child , with a fairly simple life of school , a pet hermit crab , and little else . no friends a single toddler sibling , and hand off , detachment parents . i remember distinctly the automatic negative thoughts coming from the back rear of my head . the part of my head the tried in vein to counter the ants was the front part , the prefrontal cortex , as i much later learned . the back and front were at war . every night , i would sob in seething pain of hating to be alive and in shame and seeing guilt of feeling the way i felt . i hid it from my parents , although it was not hard . my mental picture of it all was like that of the last judgement with the horrors of hell at the bottom and the goodness of jesus and even up top , like the back bottom of my head and front top of my head . fast forward to my mid s and being on the bring of committed to an institution . i knew from my experience as a child , that the depression had a source in the brain . i looked at brain anatomy and best i can i identify , it is from the area of the limbic system and dorsal raphe nucleus . ls and don it was like the ls has a megaphone in my head and the pfc whispered . or , as if in the war in my head , the ls had rocket loungers and m s and the pfc had bb guns . total imbalance . so , as i explained , i sought out to balance the volume of the ls and pfc . from my classes in college , i k ew about neurons , a bit about how they fire in sequence and wire together and how muscle memory can trigger reflexive firing , luke when we tire our shoes . with repetition , executing the action of tying our shoes does not require the step by step thought process . turns out , it takes a certain number of hours of specific practice to get a certain chain of neuron to wire together . i . hours , you have a pretty good wiring , and with thousands of hours you are considered a professional or a master at something . well , guess how many hours in our lifetime we have spent mastering our depression especially in relation to hours spent on a specific depression counter measure . it is numbers . , , hours is nothing to judge success by when i know my brain has been actively supporting its own depressive habits for thousands of hours since i was years old . so , i took the approach of training like an athlete trains for an upcoming sports season . suppose would be soccer player chris gets some shin guards and soccer shoes , reads up a bit on soccer rules , and practices moves minutes per week in the weeks preceding the first game . suppose would be soccer player pat gets some shin guards , shoes and learns the rules also , but practices every single day . time spent learning to dribble the ball up and down the field , defend around opponent , heading an incoming ball , etc . if pat s total minutes of specific practice on repeating a single move of maneuvering the ball around a cone in practice is a total of minutes a day , times days a week time weeks of pre season , pat has accumulated house of specific practice on that maneuver . who is going to be more ready to perform as a soccer player at the first game the analogy is that i am the would be soccer player and the st game is an looming depressive episode . what i had to to was bring elements of purely objective reality into my anti depressive crusade . x number of minutes doing my in control exercise was one of those objective elements . nothing from my various therapists was ever that kind of specific . it was always well , how do you feel after . . . . how do you feel since . . . how are you feeling . . . . newsflash reporting a feeling is complete subjective . i needed balance in subjective and objective . not all or nothing , just some of each . it turns out , that is the key to overcome g depression , too . balance between the volume and authority of the various areas of our brains . <end>"
1242,<start> meals <end>,"<start> try protein shakes , frozen dinner meals , or things you can make quickly frozen pizza , chicken nuggets tenders , etc . etc . basically , figure out foods you like eating that take the least amount of effort time to make . alternatively , you could even get a slow cooker and look up recipes online . you just put the food in and it cooks all day . v low effort . <end>"
1243,<start> reached the conclusion where death is as meaningless as life <end>,"<start> i can relate , i find myself asking the same question . i have big goals and always try to improve myself , and i recently asked a friend of mine that if i do not reach these goals , what was the point of me living to work for all of it and not finish what i started before i am gone . she responded by saying its the fight i put up to get as far as i did and what i did for my loved ones that counts the most in life , and i think she is right in that , so anytime i question why i am still here i just tell myself how good of a fight i am going to put up in order to achieve my goals and help my loved ones , because life is essentially what one makes of it <end>"
1244,<start> lonely and wanting to give up <end>,"<start> it is good you are feeling some effect from the drug . if you have that early effect , odds are it will get better again over the next few weeks as its usually weeks for full effect on most psychiatric drugs . x b i urge you try and reach out to your friends . just drop an email or text to say hi . its really easy to lose track of friends as you go away to college and yet they are so good for our mental health . x b good luck <end>"
1245,"<start> depression slump , weight loss , amp no appetite . looking for advice or suggestions <end>","<start> smoothies are great to drink even when you get better . i blend a big smoothie in the morning or afternoon and drink it as a meal replacement when i am too lazy to cook . more veggies than fruit , add nuts for protein and to keep you feel . here s an easy one handful spinach half handful berries half handful almonds fill with unsweetened almond milk it does not taste like gourmet dessert , but it has a lot of nutritional value for you . i wish i had more advice but maybe eating will snowball in to the next forward step . <end>"
1246,"<start> smoothies are great to drink even when you get better . i blend a big smoothie in the morning or afternoon and drink it as a meal replacement when i am too lazy to cook . more veggies than fruit , add nuts for protein and to keep you feel . here s an easy one handful spinach half handful berries half handful almonds fill with unsweetened almond milk it does not taste like gourmet dessert , but it has a lot of nutritional value for you . i wish i had more advice but maybe eating will snowball in to the next forward step . <end>",<start> thank you so much . i will definitely try that . <end>
1247,<start> in need of advice <end>,<start> dm d <end>
1248,<start> i need help . <end>,"<start> one thing i would like to say is that you are incredibly self aware teen . it is really hard to understand your emotions and identity at any age . but at to understand and be aware about your emotions is very impressive . i definitely think your sexuality has caused you some anxiety , anger , and depression . i am now , but when i was i was struggling with my sexuality as well . i am a lesbian and i was so angry that i was the way i was . i wanted to be different , but obviously can not change who you are . it is okay to be scared . you are dealing with a lot right now . you need to tell yourself it is okay to feel mad . it is okay to feel sad . it is okay to be afraid do not fight the emotions . let them come to you . and welcome them . by doing this they will pass quicker . emotions come and go . they will pass but you can not ignore them , you must feel it fully . being in italy is probably causing you anxiety and stress as well . although it is a vacation , you are already mentally dealing with a lot of different issues so to be in a different part of world probably adds on to your stress . but please , understand that what you are feeling is okay and justified . x b when you do get home , maybe consider talking to a therapist . you could ask your school counselor or your parent if you feel comfortable i know that seems scary especially if you never seen a therapist before . but at your age , you are dealing with a lot of issues that most year olds do not have to deal with . so a therapist may help you . but even if you do not see a therapist , finding someone who accepts you for who you are is a great resource for you to have . talking to this someone will help you get feelings out and help you from not being so anxious all the time . x b i hope you the best x b feel free to respond to me i would love to reply back <end>"
1249,"<start> one thing i would like to say is that you are incredibly self aware teen . it is really hard to understand your emotions and identity at any age . but at to understand and be aware about your emotions is very impressive . i definitely think your sexuality has caused you some anxiety , anger , and depression . i am now , but when i was i was struggling with my sexuality as well . i am a lesbian and i was so angry that i was the way i was . i wanted to be different , but obviously can not change who you are . it is okay to be scared . you are dealing with a lot right now . you need to tell yourself it is okay to feel mad . it is okay to feel sad . it is okay to be afraid do not fight the emotions . let them come to you . and welcome them . by doing this they will pass quicker . emotions come and go . they will pass but you can not ignore them , you must feel it fully . being in italy is probably causing you anxiety and stress as well . although it is a vacation , you are already mentally dealing with a lot of different issues so to be in a different part of world probably adds on to your stress . but please , understand that what you are feeling is okay and justified . x b when you do get home , maybe consider talking to a therapist . you could ask your school counselor or your parent if you feel comfortable i know that seems scary especially if you never seen a therapist before . but at your age , you are dealing with a lot of issues that most year olds do not have to deal with . so a therapist may help you . but even if you do not see a therapist , finding someone who accepts you for who you are is a great resource for you to have . talking to this someone will help you get feelings out and help you from not being so anxious all the time . x b i hope you the best x b feel free to respond to me i would love to reply back <end>","<start> thank you so much . this really helped . i feel like nobody from my family would support me , though . pretty much every single one of my family members is a homophobic . i am pretty sure my friends are as well . <end>"
1250,"<start> thank you so much . this really helped . i feel like nobody from my family would support me , though . pretty much every single one of my family members is a homophobic . i am pretty sure my friends are as well . <end>",<start> yeah in that case finding a support person will be a bit more difficult but not impossible . middle school kids are pretty dumb about left issues but high school it gets better a bit . i hope there is a gas at your school or some safe place for left kids . <end>
1251,<start> yeah in that case finding a support person will be a bit more difficult but not impossible . middle school kids are pretty dumb about left issues but high school it gets better a bit . i hope there is a gas at your school or some safe place for left kids . <end>,"<start> i am in high school right now . just finished freshman year . as far as i know there is no support group or anything at the school . it is ok though , it is not really something i feel like talking about face to face with someone . <end>"
1252,<start> how do you love yourself <end>,"<start> sometimes loving yourself is a lot to ask . i sure do not love myself . tolerating yourself is a great first step . you do not have to walk around thinking your farts do not stink or make lists of the things you like about yourself . step is silencing the voice in your head that tells you all the mean things that make you hate yourself . recognize those thoughts and shut them down before they finish . i read somewhere that the best way to do it is to try your best every day . and your best is different every day , and that is ok . that way when the voice starts up you can always counter it with hey , i am trying my best that is the most you can ask of yourself . try your best and invalidate the voice . step is a bunch of baby steps . what do you want to change about yourself do not make a list . pick the very first thing that pops in your head . and little by little , work to change it . you do not have to fix it in a day . just do your best . then move on to the next thing , but only when you are ready . eventually , maybe you will not love yourself , but you will be more confident and in a better place . <end>"
1253,"<start> man , it sucks being sad and alone . <end>","<start> it is finally starting to hit me that the self induced isolation i put myself through had serious consequences toward my development as an adult i can relate to this so much . i am and i still feel like a manchild sometimes . like other people are out there having a social life , going in and out of relationships , learning , while i am here all alone , not maturing , not progressing . i wonder where did i go wrong . you say people are abandoning you . have you discussed this with your therapist i have those feelings sometimes too . sometimes i wonder why no one wants to hang out with me . i guess because i have not experienced a healthy social life , i do not know what that looks like . discussing this with my therapist has helped . feel free to reach out if you want to talk more about this . i will try to respond . my suggestion right now is continue with the therapy . again i am so sorry this is happening to you . life is not fair sometimes . being happy is hard . <end>"
1254,<start> how i do get help for my depression in my situation <end>,"<start> i am in a very similar situation to you , so feel comfort that you are not alone . it is actually uncanny how your feelings seem to be similar to what i am going through as well . unfortunately i can not offer any advice beyond that . i know some doctors will allow you pay per appointment , but prices can be up to per visit . i was going to a psych when i was at university that was paid for through my tuition but it was very hard to make an appointment as they were always full to capacity and scheduled weeks out . i am not sure where to go from there , but that is all i have found so far . <end>"
1255,"<start> i am in a very similar situation to you , so feel comfort that you are not alone . it is actually uncanny how your feelings seem to be similar to what i am going through as well . unfortunately i can not offer any advice beyond that . i know some doctors will allow you pay per appointment , but prices can be up to per visit . i was going to a psych when i was at university that was paid for through my tuition but it was very hard to make an appointment as they were always full to capacity and scheduled weeks out . i am not sure where to go from there , but that is all i have found so far . <end>","<start> i hope you are doing good , i will just got to look where i can start . thank you . <end>"
1256,"<start> i hope you are doing good , i will just got to look where i can start . thank you . <end>","<start> still not great , but it is what it is . now that i am out of university i need to start seeing a psych again , but this is exactly why i have not . <end>"
1257,"<start> my friend wants to commit suicide , and has opened up to me about it . can the community please help me with how to speak to him about this . i have never had someone need me like they do tight now , and i do not know what to do <end>","<start> all you can do is be there for him . if you do not hear from him , make sure you touch base with him instead depressed people tend to withdraw . try to go out with him and keep him active . <end>"
1258,"<start> all you can do is be there for him . if you do not hear from him , make sure you touch base with him instead depressed people tend to withdraw . try to go out with him and keep him active . <end>","<start> second this . the best thing you can do is be there for him . it can be complicated when if he asks for space , give it to him but always check on him . do not let him distant himself too much . just do what you think is best , for as long as you are there for him you are doing the right thing no matter what good luck to you and your friend <end>"
1259,"<start> second this . the best thing you can do is be there for him . it can be complicated when if he asks for space , give it to him but always check on him . do not let him distant himself too much . just do what you think is best , for as long as you are there for him you are doing the right thing no matter what good luck to you and your friend <end>","<start> thank you very much for your kind words and help , things are looking much better already <end>"
1260,<start> so utterly exhausted <end>,"<start> i feel this way often , honestly . i think it is a result of feeling being stuck in the same routine day in and day out . life can start to feel pointless when you are always doing the same things , around the same people , and nothing seems to change . when i feel like this though i just let myself cry , really . even if it is only for five minutes , ten , or a half hour . it at least alleviates some of the pent up stress and emotion . then i try to do one nice thing for myself , like watch a show i love or look at flights for places i want to go . <end>"
1261,"<start> i feel this way often , honestly . i think it is a result of feeling being stuck in the same routine day in and day out . life can start to feel pointless when you are always doing the same things , around the same people , and nothing seems to change . when i feel like this though i just let myself cry , really . even if it is only for five minutes , ten , or a half hour . it at least alleviates some of the pent up stress and emotion . then i try to do one nice thing for myself , like watch a show i love or look at flights for places i want to go . <end>",<start> crying can definitely help . i just feel like as i let things out i empty myself of it and it just sort of fills back up . if that makes sense <end>
1262,<start> crying can definitely help . i just feel like as i let things out i empty myself of it and it just sort of fills back up . if that makes sense <end>,<start> oh for sure i feel the same way . <end>
1263,<start> i hate myself <end>,"<start> depression sucks soosoo much that death seems like a better alternative . it feels like you are in the middle of a battlefield with you feet in cement , naked and being hit by fire . nowhere to escape . no shelter . no control . it is about the most terrifying thing a human can experience case in point is that death seem better that the deviating , relentless depression . the gaming is a diversion . it is an external one , so you are in control of turning it on and starting to play , but you are not in control of pushing the depression out of your head the game takes it away for a while . to forcefully shove the depression out of your own head for even a few minutes take control by saying out loud i am on control of . . . an do a small action . i am in control of setting my drink down on the edge of the piece of paper on the table , and do it . i am in control of moving my foot an inch to the left , and do it . be in control for am ton of different little things for like to minutes per day . your brain will love the balance . it is just what i did . but i merely suggest this tool because it is something that is free , accessible , and in your control . you have my support . <end>"
1264,"<start> depression sucks soosoo much that death seems like a better alternative . it feels like you are in the middle of a battlefield with you feet in cement , naked and being hit by fire . nowhere to escape . no shelter . no control . it is about the most terrifying thing a human can experience case in point is that death seem better that the deviating , relentless depression . the gaming is a diversion . it is an external one , so you are in control of turning it on and starting to play , but you are not in control of pushing the depression out of your head the game takes it away for a while . to forcefully shove the depression out of your own head for even a few minutes take control by saying out loud i am on control of . . . an do a small action . i am in control of setting my drink down on the edge of the piece of paper on the table , and do it . i am in control of moving my foot an inch to the left , and do it . be in control for am ton of different little things for like to minutes per day . your brain will love the balance . it is just what i did . but i merely suggest this tool because it is something that is free , accessible , and in your control . you have my support . <end>","<start> thanks , i will try that . i hope everything will get better some day . <end>"
1265,<start> going through a tough time with food <end>,<start> i had that issue for a while . what i did was whenever i thought i wanted something to eat i would stop and ask myself am i really hungry or am i just wanting food to make me feel better then after i come to my conclusion that it just felt hungry because i needed something to make me feel better i would make myself go do something that would get my mind off of food . or if just force myself to wait a healthy amount of time to eat again . now if that does not work then you could always try to just eat a little bit healthier like fruit and vegetables for snack so you will not gain too much weight . its ok to be chunky and have some extra weight bow . i hope this helps <end>
1266,<start> i had that issue for a while . what i did was whenever i thought i wanted something to eat i would stop and ask myself am i really hungry or am i just wanting food to make me feel better then after i come to my conclusion that it just felt hungry because i needed something to make me feel better i would make myself go do something that would get my mind off of food . or if just force myself to wait a healthy amount of time to eat again . now if that does not work then you could always try to just eat a little bit healthier like fruit and vegetables for snack so you will not gain too much weight . its ok to be chunky and have some extra weight bow . i hope this helps <end>,<start> it does thank you so much for the advice <end>
1267,<start> it does thank you so much for the advice <end>,<start> i hope you get well my friend . have a nice day <end>
1268,<start> how to help my girlfriend with severe depression <end>,"<start> this is such a hard place for you both . you are so close and so far . she is lucky to have you . please know that depression because of the way our brains process stimulus , not who we are . the cocktail of neurochemicals that causes the episodes rise and wane . in the immediate moment , a good way to power through it is to g ve yourself permission to focus on things you are in control of . i am in control of tawpi g my thumb and index finger together times i am in control of rolling this pencil inches to the left . do that for a good min , say out loud and execute for full immersion away from the depressive episode . full support from me , and lots of hope . <end>"
1269,"<start> this is such a hard place for you both . you are so close and so far . she is lucky to have you . please know that depression because of the way our brains process stimulus , not who we are . the cocktail of neurochemicals that causes the episodes rise and wane . in the immediate moment , a good way to power through it is to g ve yourself permission to focus on things you are in control of . i am in control of tawpi g my thumb and index finger together times i am in control of rolling this pencil inches to the left . do that for a good min , say out loud and execute for full immersion away from the depressive episode . full support from me , and lots of hope . <end>",<start> thank you for the advice . <end>
1270,<start> what is this feeling <end>,"<start> i have never thought to question that emotion but i have felt it . exactly as you have described . it is so draining , i am pretty well spent for the day after an argument with my husband . <end>"
1271,"<start> i have never thought to question that emotion but i have felt it . exactly as you have described . it is so draining , i am pretty well spent for the day after an argument with my husband . <end>","<start> yeah , almost like your hope is draining away . . . <end>"
1272,<start> fuck i am depressed today <end>,<start> me too . know you are not the only one . <end>
1273,<start> me too . know you are not the only one . <end>,<start> hope you feel better <end>
1274,<start> trauma if i can not bare to face my own memories how can i expect someone else to <end>,"<start> hi friend . i am so very sorry about your trauma . as for the dating situation , it is kind of a fine line . do not immediately spill your guts , but it is totally ok to give them a heads up about your triggers and such . maybe give them a summary now and trickle out some details as you feel comfortable . the whole story does not need to all come out at once , especially if it is a hard story to tell . if they feel uncomfortable , it is their responsibility to let you know . and then you can come up with a solution together . also , congrats and from someone who has dealt with confidence issues their whole life , remember that no matter what you are going through , you are just as deserving of love and happiness as the next person . do not apologize for yourself . remind yourself of where you are and how far you have come . you are such a strong person for working through this and for not giving up on your dream . if you could go back in time and tell past you where you are , they would be so very proud of you . keep fighting friend . better days are coming , i can feel it . <end>"
1277,<start> lonely and my own fault <end>,"<start> stay away from toxic friends . if they are not willing to include you in their life then do not bother taking interest in them . i know it sounds like you will be lonely , but it is better to be alone then with bad company . if your just seeking attention pick up a hobby or post here too low . you will find more people to be friends with . do not worry . this world is filled with people . just show a little interest in them , and things sometimes work out . <end>"
1278,"<start> stay away from toxic friends . if they are not willing to include you in their life then do not bother taking interest in them . i know it sounds like you will be lonely , but it is better to be alone then with bad company . if your just seeking attention pick up a hobby or post here too low . you will find more people to be friends with . do not worry . this world is filled with people . just show a little interest in them , and things sometimes work out . <end>",<start> i am bad when it it is about social media but i try sometimes like posting art or so . i do not want only attention i want friendship that last and do not end up becoming toxic . i really feel lonely rn that is true and i wish i could be grateful but it is really hard . <end>
1279,<start> i am bad when it it is about social media but i try sometimes like posting art or so . i do not want only attention i want friendship that last and do not end up becoming toxic . i really feel lonely rn that is true and i wish i could be grateful but it is really hard . <end>,"<start> i get that . i was going through that too . everyone has at some point in their life . just remember , despite what other people say , you do not need people to be happy . i know we are social creatures and we are meant to be interdependent with others , but the truth is you can be just as happy by yourself . i follow a rule that while some people may believe is selfish , i think it brings you confidence and support . it is you before anyone else . you come first . make yourself happy and satisfied then move on to invest in others . do not go chasing around people to make you happy . the road may seem lonely now but by the time your done needing toxic people in your life , they will be begging for you to invite them back in . <end>"
1280,<start> it is all too much <end>,"<start> breath . go take a walk and if possible , somewhere in nature . clear your mind . understand that this is not permanent . <end>"
1281,<start> is it healthier to eat junk food to cope with sadness or eat nothing at all <end>,<start> drink waaaterrr <end>
1282,<start> feeling destroyed <end>,"<start> i am in the same boat , just going through the motions daily . in love with one who clearly does not feel the same anymore . . . . . huh . <end>"
1283,"<start> i am in the same boat , just going through the motions daily . in love with one who clearly does not feel the same anymore . . . . . huh . <end>","<start> hi in the same boat , just going through the motions daily . in love with one who clearly does not feel the same anymore . . . . . huh . , i am dad . <end>"
1284,<start> i need help getting over this fast <end>,<start> i am having the same exact thing right now . it sucks . i hope you feel better . feel free to pm me if you want to talk . <end>
1285,<start> struggling with a toxic ex girlfriend <end>,"<start> this is tough . some people are manipulative like that . or maybe they do not know how they come off . maybe she legitimately just wanted to keep your friendship alive even though you did not want that at all . who knows . i do not have a great history of handling this kind of stuff . girl i liked in college dumped me right before summer , then during the summer would send me drunk flirty messages , only to be like wow that was embarrassing i must have drunk too much low hope you are doing well but my feelings have not changed the next morning she did this twice . much later , about months later , she must have been depressed so she reached out to me again this time looking to date for real . i was depressed so i agreed to . couple of months later she dumped me again . she pretty much saw me like a band aid . she still wanted to be friends . college then ended and i moved away . i blocked her on all social media and deleted all photos and texts of hers . she is tested me once or twice when she is in the area where i live but i do not respond . it is been a while and i think it would still bother me to see her or talk to her . some people are just good at getting under your skin , whether with malicious intentions or otherwise . i suggest cutting her off completely . people like that are toxic . you said you moved to the city to live with her . we are you considering other cities this sounds like a good time to make a move . my advice is probably really shitty but the main thing i want to say to you is that really sucks man , and i am so sorry she did this to you . i can relate a lot . <end>"
